t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio
0.000,0.000,0.8003,3.1583,-89.997,0.7983,3.1548,-90.168,0.0035,-0.0020,0.0041,-0.171,0.7971,3.1525,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0112,1.5000
0.050,0.000,0.8003,3.1583,-89.997,0.7958,3.1539,-90.031,0.0044,-0.0045,0.0063,-0.034,0.7971,3.1525,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0122,1.6364
0.100,0.000,0.8003,3.1583,-89.997,0.7958,3.1539,-90.031,0.0044,-0.0045,0.0063,-0.034,0.7971,3.1525,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0122,1.6364
0.150,0.000,0.8003,3.1583,-89.997,0.7958,3.1539,-90.031,0.0044,-0.0045,0.0063,-0.034,0.7971,3.1525,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0122,1.6364
0.200,0.000,0.8003,3.1583,-89.997,0.7958,3.1539,-90.031,0.0044,-0.0045,0.0063,-0.034,0.7971,3.1525,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0122,1.6364
0.250,0.000,0.8004,3.1583,-89.997,0.7958,3.1539,-90.031,0.0044,-0.0046,0.0064,-0.034,0.7971,3.1525,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0122,1.6800
0.300,0.000,0.8004,3.1583,-89.997,0.7958,3.1539,-90.031,0.0044,-0.0046,0.0064,-0.034,0.7971,3.1525,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0122,1.6800
0.350,0.000,0.8004,3.1583,-89.997,0.7958,3.1539,-90.031,0.0044,-0.0046,0.0064,-0.034,0.7971,3.1525,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0122,1.6800
0.400,0.000,0.8004,3.1583,-89.997,0.7962,3.1534,-90.019,0.0049,-0.0042,0.0064,-0.022,0.7971,3.1525,0.002,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0119,1.6333
0.450,0.000,0.8004,3.1583,-89.997,0.7971,3.1525,-89.995,0.0058,-0.0033,0.0066,0.002,0.7948,3.1525,0.139,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0110,1.5033
0.500,0.000,0.8004,3.1583,-89.997,0.7971,3.1525,-89.995,0.0058,-0.0033,0.0066,0.002,0.7948,3.1525,0.139,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0110,1.5033
0.550,0.000,0.8004,3.1583,-89.997,0.7971,3.1525,-89.995,0.0058,-0.0033,0.0066,0.002,0.7948,3.1525,0.139,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0110,1.5033
0.600,0.000,0.8004,3.1583,-89.997,0.7971,3.1525,-89.995,0.0058,-0.0033,0.0066,0.002,0.7948,3.1525,0.139,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0110,1.5033
