t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,3.3618,2.0883,134.998,0.8188,2.9895,268.559,2.4354,1.1610,2.6980,133.561,0.8180,3.1580,131.606,-0.1265,0.1113,136.954,0.023,0.0000,0.168,0.0000,0.0096,0.0790,8.2157,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,3.3617,2.0884,134.999,2.1530,3.2480,135.321,1.6746,0.0348,1.6750,0.321,2.2801,3.1374,0.321,-0.1265,0.1113,134.999,-0.002,-0.0001,0.168,0.0001,0.0095,0.3812,39.9566,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,3.3617,2.0883,134.999,2.1530,3.2480,135.320,1.6747,0.0347,1.6751,0.322,2.2801,3.1374,0.321,-0.1265,0.1113,134.999,-0.002,-0.0001,0.168,0.0001,0.0096,0.3811,39.7624,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,3.3618,2.0883,134.998,2.1530,3.2480,135.319,1.6748,0.0348,1.6751,0.321,2.2801,3.1374,0.321,-0.1265,0.1113,134.998,-0.001,-0.0001,0.168,0.0000,0.0095,0.3812,39.9555,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,3.3618,2.0883,134.997,2.1530,3.2480,135.318,1.6748,0.0348,1.6751,0.321,2.2801,3.1374,0.321,-0.1265,0.1113,134.997,-0.001,0.0000,0.168,0.0000,0.0096,0.3812,39.8602,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,3.3618,2.0882,134.997,2.1530,3.2480,135.318,1.6749,0.0348,1.6752,0.321,2.2801,3.1374,0.321,-0.1265,0.1113,134.997,-0.001,0.0000,0.168,0.0001,0.0096,0.3812,39.5349,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,3.3618,2.0882,135.008,2.1530,3.2480,135.326,1.6749,0.0344,1.6752,0.318,2.2801,3.1374,0.321,-0.1265,0.1113,135.005,-0.001,0.0000,0.168,0.0001,0.0096,0.3811,39.6583,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,3.3618,2.0882,135.008,2.1530,3.2480,135.329,1.6749,0.0344,1.6752,0.321,2.2801,3.1374,0.321,-0.1265,0.1113,135.008,-0.001,0.0000,0.168,0.0001,0.0096,0.3811,39.6632,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.001,3.3619,2.0882,135.007,2.1530,3.2480,135.329,1.6749,0.0345,1.6753,0.321,2.2801,3.1374,0.321,-0.1265,0.1113,135.007,-0.000,0.0000,0.168,0.0001,0.0096,0.3811,39.6604,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.001,3.3619,2.0882,135.007,2.1605,3.2432,135.950,1.6662,0.0326,1.6666,0.943,2.2887,3.1340,0.943,-0.1265,0.1113,135.007,-0.000,0.0000,0.168,0.0001,0.0096,0.3804,39.5923,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.001,3.3619,2.0882,135.007,2.1605,3.2432,135.950,1.6662,0.0326,1.6666,0.943,2.2887,3.1340,0.943,-0.1265,0.1113,135.007,-0.000,0.0000,0.168,0.0001,0.0096,0.3804,39.5923,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.001,3.3619,2.0881,135.007,2.1605,3.2432,135.950,1.6663,0.0326,1.6666,0.943,2.2887,3.1340,0.943,-0.1265,0.1113,135.007,-0.000,0.0000,0.168,0.0002,0.0097,0.3804,39.2697,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.001,3.3619,2.0881,135.007,2.1605,3.2432,135.950,1.6663,0.0326,1.6666,0.943,2.2887,3.1340,0.943,-0.1265,0.1113,135.007,-0.000,0.0000,0.168,0.0002,0.0097,0.3804,39.2697,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.650,0.001,3.3619,2.0881,135.007,2.1605,3.2432,135.950,1.6663,0.0326,1.6666,0.943,2.2887,3.1340,0.943,-0.1265,0.1113,135.007,-0.000,0.0000,0.168,0.0002,0.0097,0.3804,39.2697,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.700,0.001,3.3619,2.0881,135.007,2.1605,3.2432,135.950,1.6663,0.0326,1.6666,0.943,2.2887,3.1340,0.943,-0.1265,0.1113,135.007,-0.000,0.0000,0.168,0.0002,0.0097,0.3804,39.2697,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.750,0.001,3.3619,2.0881,135.007,2.1605,3.2432,135.950,1.6663,0.0326,1.6666,0.943,2.2887,3.1340,0.943,-0.1265,0.1113,135.007,-0.000,0.0000,0.168,0.0002,0.0097,0.3804,39.2697,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.800,0.001,3.3619,2.0881,135.007,2.1605,3.2432,135.950,1.6663,0.0326,1.6666,0.943,2.2887,3.1340,0.943,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.3804,39.2697,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.850,0.001,3.3619,2.0881,135.007,2.1605,3.2432,135.950,1.6663,0.0326,1.6666,0.943,2.2887,3.1340,0.943,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.3804,39.2697,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.900,0.001,3.3619,2.0881,135.007,2.1636,3.2395,136.028,1.6615,0.0330,1.6618,1.021,2.2920,3.1305,1.021,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.3797,39.0996,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.950,0.001,3.3619,2.0881,135.007,2.1636,3.2395,136.028,1.6615,0.0330,1.6618,1.021,2.2920,3.1305,1.021,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.3797,39.0996,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000,0.001,3.3619,2.0881,135.007,2.1636,3.2395,136.028,1.6615,0.0330,1.6618,1.021,2.2920,3.1305,1.021,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.3797,39.0996,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.050,0.001,3.3619,2.0881,135.007,2.1636,3.2395,136.028,1.6615,0.0330,1.6618,1.021,2.2920,3.1305,1.021,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.3797,39.0996,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.100,0.001,3.3619,2.0881,135.007,2.1636,3.2395,136.028,1.6615,0.0330,1.6618,1.021,2.2920,3.1305,1.021,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.3797,39.0996,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.150,0.001,3.3619,2.0881,135.007,2.1636,3.2395,136.028,1.6615,0.0330,1.6618,1.021,2.2920,3.1305,1.021,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.3797,39.0996,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.200,0.001,3.3619,2.0881,135.007,2.1636,3.2395,136.028,1.6615,0.0330,1.6618,1.021,2.2920,3.1305,1.021,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.3797,39.0996,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.250,0.001,3.3619,2.0881,134.999,2.1636,3.2395,136.025,1.6615,0.0332,1.6618,1.026,2.2920,3.1305,1.021,-0.1265,0.1113,135.004,0.000,0.0000,0.168,0.0002,0.0097,0.3797,39.1929,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.300,0.001,3.3619,2.0881,134.999,2.1678,3.2329,136.256,1.6538,0.0349,1.6542,1.257,2.2967,3.1244,1.257,-0.1265,0.1113,134.999,0.000,0.0000,0.168,0.0002,0.0097,0.3794,39.1656,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.350,0.001,3.3619,2.0881,134.999,2.1678,3.2329,136.256,1.6538,0.0349,1.6542,1.257,2.2967,3.1244,1.257,-0.1265,0.1113,134.999,0.000,0.0000,0.168,0.0002,0.0097,0.3794,39.1656,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.400,0.001,3.3619,2.0881,134.999,2.1678,3.2329,136.256,1.6538,0.0349,1.6542,1.257,2.2967,3.1244,1.257,-0.1265,0.1113,134.999,0.000,0.0000,0.168,0.0002,0.0097,0.3794,39.1656,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.450,0.001,3.3619,2.0881,134.999,2.1678,3.2329,136.256,1.6538,0.0349,1.6542,1.257,2.2967,3.1244,1.257,-0.1265,0.1113,134.999,0.000,0.0000,0.168,0.0002,0.0097,0.3794,39.1656,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.500,0.001,3.3619,2.0881,134.999,2.1678,3.2329,136.256,1.6538,0.0349,1.6542,1.257,2.2967,3.1244,1.257,-0.1265,0.1113,134.999,0.000,0.0000,0.168,0.0002,0.0097,0.3794,39.1656,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.550,0.001,3.3619,2.0881,134.999,2.1678,3.2329,136.256,1.6538,0.0349,1.6542,1.257,2.2967,3.1244,1.257,-0.1265,0.1113,134.999,0.000,0.0000,0.168,0.0002,0.0097,0.3794,39.1656,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.600,0.001,3.3619,2.0881,134.999,2.1678,3.2329,136.256,1.6538,0.0349,1.6542,1.257,2.2967,3.1244,1.257,-0.1265,0.1113,134.999,0.000,0.0000,0.168,0.0002,0.0097,0.3794,39.1656,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.650,0.001,3.3619,2.0881,134.999,2.1678,3.2329,136.256,1.6538,0.0349,1.6542,1.257,2.2967,3.1244,1.257,-0.1265,0.1113,134.999,0.000,0.0000,0.168,0.0002,0.0097,0.3794,39.1656,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.700,0.001,3.3619,2.0881,134.999,2.1678,3.2329,136.256,1.6538,0.0349,1.6542,1.257,2.2967,3.1244,1.257,-0.1265,0.1113,134.999,0.000,0.0000,0.168,0.0002,0.0097,0.3794,39.1656,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.750,0.001,3.3619,2.0881,134.999,2.1718,3.2290,136.211,1.6482,0.0348,1.6486,1.211,2.3006,3.1204,1.211,-0.1265,0.1113,134.999,0.000,0.0000,0.168,0.0002,0.0097,0.3784,39.0627,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.800,0.001,3.3619,2.0881,134.999,2.1718,3.2290,136.211,1.6482,0.0348,1.6486,1.211,2.3006,3.1204,1.211,-0.1265,0.1113,134.999,0.000,0.0000,0.168,0.0002,0.0097,0.3784,38.9696,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.850,0.001,3.3619,2.0881,134.999,2.1718,3.2290,136.211,1.6482,0.0348,1.6486,1.211,2.3006,3.1204,1.211,-0.1265,0.1113,134.999,0.000,0.0000,0.168,0.0002,0.0097,0.3784,38.9696,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.900,0.001,3.3619,2.0881,134.999,2.1718,3.2290,136.211,1.6482,0.0348,1.6486,1.211,2.3006,3.1204,1.211,-0.1265,0.1113,134.999,0.000,0.0000,0.168,0.0002,0.0097,0.3784,39.0627,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.950,0.001,3.3619,2.0881,134.999,2.1718,3.2290,136.211,1.6482,0.0348,1.6486,1.211,2.3006,3.1204,1.211,-0.1265,0.1113,134.999,0.000,0.0000,0.168,0.0002,0.0097,0.3784,39.0627,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.000,0.001,3.3619,2.0881,134.999,2.1718,3.2290,136.211,1.6482,0.0348,1.6486,1.211,2.3006,3.1204,1.211,-0.1265,0.1113,134.999,0.000,0.0000,0.168,0.0002,0.0097,0.3784,39.0627,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.050,0.001,3.3619,2.0881,134.999,3.3641,2.0876,135.154,-0.0019,-0.0012,0.0023,0.154,3.4909,1.9767,0.154,-0.1265,0.1113,134.999,0.000,0.0000,0.168,0.0002,0.0097,0.0098,1.0108,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.100,0.001,3.3619,2.0881,134.999,3.3641,2.0876,135.154,-0.0019,-0.0012,0.0023,0.154,3.4909,1.9767,0.154,-0.1265,0.1113,134.999,0.000,0.0000,0.168,0.0002,0.0097,0.0098,1.0108,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.150,0.001,3.3619,2.0881,134.999,3.3641,2.0876,135.154,-0.0019,-0.0012,0.0023,0.154,3.4909,1.9767,0.154,-0.1265,0.1113,134.999,0.000,0.0000,0.168,0.0002,0.0097,0.0098,1.0108,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.200,0.001,3.3619,2.0881,135.007,3.3663,2.0873,135.258,-0.0037,-0.0025,0.0044,0.251,3.4932,1.9766,0.259,-0.1265,0.1113,134.999,0.000,0.0000,0.168,0.0002,0.0097,0.0097,1.0004,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.250,0.001,3.3619,2.0881,135.007,3.3663,2.0873,135.266,-0.0037,-0.0025,0.0044,0.259,3.4932,1.9766,0.259,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0098,1.0062,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.300,0.001,3.3619,2.0881,135.007,3.3663,2.0873,135.266,-0.0037,-0.0025,0.0044,0.259,3.4932,1.9766,0.259,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0098,1.0062,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.350,0.001,3.3619,2.0881,135.007,3.3663,2.0873,135.266,-0.0037,-0.0025,0.0044,0.259,3.4932,1.9766,0.259,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0098,1.0062,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.400,0.001,3.3619,2.0881,135.007,3.3663,2.0873,135.266,-0.0037,-0.0025,0.0044,0.259,3.4932,1.9766,0.259,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0098,1.0062,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.450,0.001,3.3619,2.0881,135.007,3.3663,2.0873,135.266,-0.0037,-0.0025,0.0044,0.259,3.4932,1.9766,0.259,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0098,1.0062,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.500,0.001,3.3619,2.0881,135.007,3.3663,2.0873,135.261,-0.0037,-0.0025,0.0044,0.254,3.4932,1.9766,0.259,-0.1265,0.1113,135.002,0.000,0.0000,0.168,0.0002,0.0097,0.0097,1.0028,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.550,0.001,3.3619,2.0881,135.007,3.3663,2.0873,135.266,-0.0037,-0.0025,0.0044,0.259,3.4932,1.9766,0.259,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0098,1.0062,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.600,0.001,3.3619,2.0881,135.007,3.3644,2.0868,135.140,-0.0027,-0.0008,0.0028,0.133,3.4911,1.9758,0.133,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0099,1.0165,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.650,0.001,3.3619,2.0881,135.007,3.3644,2.0868,135.140,-0.0027,-0.0008,0.0028,0.133,3.4911,1.9758,0.133,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0099,1.0165,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.700,0.001,3.3619,2.0881,135.007,3.3644,2.0868,135.140,-0.0027,-0.0008,0.0028,0.133,3.4911,1.9758,0.133,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0099,1.0165,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.750,0.001,3.3619,2.0881,135.007,3.3644,2.0868,135.140,-0.0027,-0.0008,0.0028,0.133,3.4911,1.9758,0.133,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0099,1.0165,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.800,0.001,3.3619,2.0881,135.007,3.3644,2.0868,135.140,-0.0027,-0.0008,0.0028,0.133,3.4911,1.9758,0.133,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0099,1.0165,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.850,0.001,3.3619,2.0881,135.007,3.3644,2.0868,135.140,-0.0027,-0.0008,0.0028,0.133,3.4911,1.9758,0.133,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0099,1.0165,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.900,0.001,3.3619,2.0881,135.007,3.3644,2.0868,135.140,-0.0027,-0.0008,0.0028,0.133,3.4911,1.9758,0.133,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0099,1.0165,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.950,0.001,3.3619,2.0881,135.007,3.3644,2.0868,135.137,-0.0027,-0.0008,0.0028,0.130,3.4911,1.9758,0.133,-0.1265,0.1113,135.004,0.000,0.0000,0.168,0.0002,0.0097,0.0098,1.0117,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.000,0.001,3.3619,2.0881,135.007,3.3644,2.0868,135.140,-0.0027,-0.0008,0.0028,0.133,3.4911,1.9758,0.133,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0099,1.0165,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.050,0.001,3.3619,2.0881,135.007,3.3635,2.0855,135.198,-0.0030,0.0007,0.0031,0.191,3.4904,1.9746,0.191,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0111,1.1482,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.100,0.001,3.3619,2.0881,135.007,3.3635,2.0855,135.198,-0.0030,0.0007,0.0031,0.191,3.4904,1.9746,0.191,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0111,1.1482,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.150,0.001,3.3619,2.0881,135.007,3.3635,2.0855,135.198,-0.0030,0.0007,0.0031,0.191,3.4904,1.9746,0.191,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0111,1.1482,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.200,0.001,3.3619,2.0881,135.007,3.3635,2.0855,135.198,-0.0030,0.0007,0.0031,0.191,3.4904,1.9746,0.191,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0111,1.1482,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.250,0.001,3.3619,2.0881,135.007,3.3635,2.0855,135.198,-0.0030,0.0007,0.0031,0.191,3.4904,1.9746,0.191,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0111,1.1482,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.300,0.001,3.3619,2.0881,135.007,3.3635,2.0855,135.198,-0.0030,0.0007,0.0031,0.191,3.4904,1.9746,0.191,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0111,1.1482,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.350,0.001,3.3619,2.0881,135.007,3.3635,2.0855,135.198,-0.0030,0.0007,0.0031,0.191,3.4904,1.9746,0.191,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0111,1.1482,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.400,0.001,3.3619,2.0881,135.007,3.3635,2.0855,135.198,-0.0030,0.0007,0.0031,0.191,3.4904,1.9746,0.191,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0111,1.1482,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.450,0.001,3.3619,2.0881,135.007,3.3635,2.0855,135.198,-0.0030,0.0007,0.0031,0.191,3.4904,1.9746,0.191,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0111,1.1482,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.500,0.001,3.3619,2.0881,135.007,3.3635,2.0877,135.265,-0.0015,-0.0008,0.0017,0.258,3.4905,1.9769,0.258,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0106,1.0873,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.550,0.001,3.3619,2.0881,135.007,3.3635,2.0877,135.265,-0.0015,-0.0008,0.0017,0.258,3.4905,1.9769,0.258,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0106,1.0873,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.600,0.001,3.3619,2.0881,135.007,3.3635,2.0877,135.265,-0.0015,-0.0008,0.0017,0.258,3.4905,1.9769,0.258,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0106,1.0873,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.650,0.001,3.3619,2.0881,135.007,3.3635,2.0877,135.265,-0.0015,-0.0008,0.0017,0.258,3.4905,1.9769,0.258,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0106,1.0873,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.700,0.001,3.3619,2.0881,135.007,3.3635,2.0877,135.265,-0.0015,-0.0008,0.0017,0.258,3.4905,1.9769,0.258,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0106,1.0873,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.750,0.001,3.3619,2.0881,134.999,3.3635,2.0877,135.265,-0.0015,-0.0008,0.0017,0.266,3.4905,1.9769,0.258,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0106,1.0899,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.800,0.001,3.3619,2.0881,135.007,3.3635,2.0877,135.265,-0.0015,-0.0008,0.0017,0.258,3.4905,1.9769,0.258,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0106,1.0873,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.851,0.001,3.3619,2.0881,135.007,3.3635,2.0877,135.265,-0.0015,-0.0008,0.0017,0.258,3.4905,1.9769,0.258,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0106,1.0873,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.900,0.001,3.3619,2.0881,135.007,3.3652,2.0873,135.353,-0.0029,-0.0018,0.0034,0.346,3.4924,1.9768,0.346,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0123,1.2644,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.950,0.001,3.3619,2.0881,135.007,3.3652,2.0873,135.353,-0.0029,-0.0018,0.0034,0.346,3.4924,1.9768,0.346,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0123,1.2644,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.000,0.001,3.3619,2.0881,135.007,3.3652,2.0873,135.353,-0.0029,-0.0018,0.0034,0.346,3.4924,1.9768,0.346,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0123,1.2644,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.050,0.001,3.3619,2.0881,135.007,3.3652,2.0873,135.353,-0.0029,-0.0018,0.0034,0.346,3.4924,1.9768,0.346,-0.1265,0.1113,135.007,0.000,0.0000,0.168,0.0002,0.0097,0.0123,1.2644,1,0.0000,0.0000,nan,4.0000,1.0948,0.0434,-0.6766,0.8000,0.2522,0.1047,-0.2017,39.0592,0.1200,-0.0002,0.1750
