t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8001,3.1583,-89.997,0.7980,3.1551,-90.073,0.0032,-0.0021,0.0038,-0.076,0.7980,3.1551,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0106,1.4156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.020,0.000,0.8001,3.1583,-89.997,0.7980,3.1551,-90.073,0.0032,-0.0021,0.0038,-0.076,0.7980,3.1551,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0106,1.4156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.040,0.000,0.8001,3.1583,-89.997,0.7980,3.1551,-90.073,0.0032,-0.0021,0.0038,-0.076,0.7980,3.1551,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0106,1.4156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.060,0.000,0.8001,3.1583,-89.997,0.7980,3.1551,-90.073,0.0032,-0.0021,0.0038,-0.076,0.7980,3.1551,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0106,1.4156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.080,0.000,0.8001,3.1583,-89.997,0.7980,3.1551,-90.073,0.0032,-0.0021,0.0038,-0.076,0.7980,3.1551,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0106,1.4156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8001,3.1583,-89.997,0.7980,3.1551,-90.073,0.0032,-0.0021,0.0038,-0.076,0.7980,3.1551,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0106,1.4156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.120,0.000,0.8001,3.1583,-89.997,0.7980,3.1551,-90.073,0.0032,-0.0021,0.0038,-0.076,0.7980,3.1551,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0106,1.4156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.140,0.000,0.8001,3.1583,-89.997,0.7980,3.1551,-90.073,0.0032,-0.0021,0.0038,-0.076,0.7980,3.1551,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0106,1.4156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.160,0.000,0.8001,3.1583,-89.997,0.7980,3.1551,-90.073,0.0032,-0.0021,0.0038,-0.076,0.7980,3.1551,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0106,1.4156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.180,0.000,0.8001,3.1583,-89.997,0.7980,3.1551,-90.073,0.0032,-0.0021,0.0038,-0.076,0.7980,3.1551,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0106,1.4156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
