t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8002,3.1583,-89.997,0.8072,3.1595,-89.728,-0.0012,0.0070,0.0071,0.269,0.8072,3.1595,0.269,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0166,0.7125,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8002,3.1583,-89.997,0.8075,3.1634,-89.651,-0.0051,0.0073,0.0089,0.346,0.8075,3.1634,0.346,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0148,0.6332,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8002,3.1583,-89.997,0.8075,3.1634,-89.651,-0.0051,0.0073,0.0089,0.346,0.8075,3.1634,0.346,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0148,0.6332,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8002,3.1583,-89.997,0.8075,3.1634,-89.651,-0.0051,0.0073,0.0089,0.346,0.8075,3.1634,0.346,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0148,0.6332,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8002,3.1583,-89.997,0.8075,3.1634,-89.651,-0.0051,0.0073,0.0089,0.346,0.8075,3.1634,0.346,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0148,0.6332,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8002,3.1583,-89.997,0.8075,3.1634,-89.651,-0.0051,0.0073,0.0089,0.346,0.8075,3.1634,0.346,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0148,0.6332,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8003,3.1583,-89.997,0.8075,3.1634,-89.651,-0.0051,0.0072,0.0088,0.346,0.8075,3.1634,0.346,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0148,0.6332,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8003,3.1583,-89.997,0.8075,3.1634,-89.651,-0.0051,0.0072,0.0088,0.346,0.8075,3.1634,0.346,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0148,0.6342,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8003,3.1583,-89.997,0.8075,3.1634,-89.651,-0.0051,0.0072,0.0088,0.346,0.8075,3.1634,0.346,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0148,0.6342,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8003,3.1583,-89.997,0.8076,3.1616,-89.696,-0.0033,0.0073,0.0080,0.300,0.8076,3.1616,0.300,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0152,0.6528,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.501,0.000,0.8003,3.1583,-89.997,0.8076,3.1616,-89.696,-0.0033,0.0073,0.0080,0.300,0.8076,3.1616,0.300,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0152,0.6528,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.000,0.8003,3.1583,-89.997,0.8076,3.1616,-89.696,-0.0033,0.0073,0.0080,0.300,0.8076,3.1616,0.300,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0153,0.6538,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,0.8003,3.1583,-89.997,0.8076,3.1616,-89.696,-0.0033,0.0073,0.0080,0.300,0.8076,3.1616,0.300,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0153,0.6538,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.650,0.000,0.8003,3.1583,-89.997,0.8076,3.1616,-89.696,-0.0033,0.0073,0.0080,0.300,0.8076,3.1616,0.300,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0153,0.6538,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.700,0.000,0.8003,3.1583,-89.997,0.8076,3.1616,-89.696,-0.0033,0.0073,0.0080,0.300,0.8076,3.1616,0.300,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0153,0.6538,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.750,0.000,0.8003,3.1583,-89.997,0.8076,3.1616,-89.696,-0.0033,0.0073,0.0080,0.300,0.8076,3.1616,0.300,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0153,0.6538,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.800,0.000,0.8003,3.1583,-89.997,0.8076,3.1616,-89.696,-0.0033,0.0073,0.0080,0.300,0.8076,3.1616,0.300,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0153,0.6538,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.850,0.000,0.8003,3.1583,-89.997,0.8076,3.1616,-89.696,-0.0033,0.0073,0.0080,0.300,0.8076,3.1616,0.300,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0153,0.6538,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.900,0.000,0.8003,3.1583,-89.997,0.8076,3.1601,-89.871,-0.0018,0.0073,0.0075,0.126,0.8076,3.1601,0.126,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0192,0.8211,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.950,0.000,0.8003,3.1583,-89.997,0.8076,3.1601,-89.871,-0.0018,0.0073,0.0075,0.126,0.8076,3.1601,0.126,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0192,0.8221,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000,0.000,0.8003,3.1583,-89.997,0.8076,3.1601,-89.871,-0.0018,0.0073,0.0075,0.126,0.8076,3.1601,0.126,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0192,0.8221,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.050,0.000,0.8003,3.1583,-89.997,0.8076,3.1601,-89.871,-0.0018,0.0073,0.0075,0.126,0.8076,3.1601,0.126,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0192,0.8221,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.100,0.000,0.8003,3.1583,-89.997,0.8076,3.1601,-89.871,-0.0018,0.0073,0.0075,0.126,0.8076,3.1601,0.126,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0192,0.8231,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.150,0.000,0.8003,3.1583,-89.997,0.8076,3.1601,-89.871,-0.0018,0.0073,0.0075,0.126,0.8076,3.1601,0.126,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0192,0.8231,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.200,0.000,0.8003,3.1583,-89.997,0.8076,3.1601,-89.871,-0.0018,0.0073,0.0075,0.126,0.8076,3.1601,0.126,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0192,0.8231,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.251,0.000,0.8003,3.1583,-89.997,0.8076,3.1601,-89.871,-0.0018,0.0073,0.0075,0.126,0.8076,3.1601,0.126,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0192,0.8231,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.300,0.000,0.8003,3.1583,-89.997,0.8076,3.1601,-89.871,-0.0018,0.0073,0.0075,0.126,0.8076,3.1601,0.126,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0192,0.8231,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.350,0.000,0.8003,3.1583,-89.997,0.8072,3.1614,-89.885,-0.0031,0.0069,0.0076,0.112,0.8072,3.1614,0.112,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0202,0.8661,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.400,0.000,0.8003,3.1583,-89.997,0.8072,3.1614,-89.885,-0.0031,0.0069,0.0076,0.112,0.8072,3.1614,0.112,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0202,0.8661,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.450,0.000,0.8003,3.1583,-89.997,0.8072,3.1614,-89.885,-0.0031,0.0069,0.0076,0.112,0.8072,3.1614,0.112,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0202,0.8661,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.500,0.000,0.8003,3.1583,-89.997,0.8072,3.1614,-89.885,-0.0031,0.0069,0.0076,0.112,0.8072,3.1614,0.112,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0202,0.8661,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.550,0.000,0.8003,3.1583,-89.997,0.8072,3.1614,-89.885,-0.0031,0.0069,0.0076,0.112,0.8072,3.1614,0.112,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0202,0.8661,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.600,0.000,0.8003,3.1583,-89.997,0.8072,3.1614,-89.885,-0.0031,0.0069,0.0076,0.112,0.8072,3.1614,0.112,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0202,0.8661,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.650,0.000,0.8003,3.1583,-89.997,0.8072,3.1614,-89.885,-0.0031,0.0069,0.0076,0.112,0.8072,3.1614,0.112,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0202,0.8671,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.700,0.000,0.8003,3.1583,-89.997,0.8072,3.1614,-89.885,-0.0031,0.0069,0.0076,0.112,0.8072,3.1614,0.112,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0202,0.8671,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.750,0.000,0.8003,3.1583,-89.997,0.8072,3.1625,-89.908,-0.0042,0.0069,0.0081,0.088,0.8072,3.1625,0.088,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0210,0.8998,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.800,0.000,0.8003,3.1583,-89.997,0.8072,3.1625,-89.908,-0.0042,0.0069,0.0081,0.088,0.8072,3.1625,0.088,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0210,0.8998,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.850,0.000,0.8003,3.1583,-89.997,0.8072,3.1625,-89.908,-0.0042,0.0069,0.0081,0.088,0.8072,3.1625,0.088,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0210,0.8998,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.900,0.000,0.8003,3.1583,-89.997,0.8072,3.1625,-89.908,-0.0042,0.0069,0.0081,0.088,0.8072,3.1625,0.088,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0210,0.8998,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.950,0.000,0.8003,3.1583,-89.997,0.8072,3.1625,-89.908,-0.0042,0.0069,0.0081,0.088,0.8072,3.1625,0.088,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0210,0.8998,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.000,0.000,0.8003,3.1583,-89.997,0.8072,3.1625,-89.908,-0.0042,0.0069,0.0081,0.088,0.8072,3.1625,0.088,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0234,0.0210,0.8998,1,0.0000,0.0000,nan,3.6127,1.1975,0.0474,-0.3925,0.8000,0.1155,0.2499,0.3252,0.0000,0.1200,-0.0003,0.1750
2.050,0.000,0.8003,3.1583,-89.997,0.8072,3.1625,-89.908,-0.0042,0.0069,0.0081,0.088,0.8072,3.1625,0.088,0.0000,0.0000,-89.997,0.004,0.0000,0.001,0.0001,0.0234,0.0210,0.8998,1,0.0105,0.0119,nan,3.6127,1.2080,0.0478,-0.3951,0.8000,0.1162,0.2499,0.3252,0.0000,0.1200,4.0878,0.1750
2.100,0.013,0.8004,3.1458,-90.317,0.8072,3.0876,-90.128,0.0582,0.0071,0.0586,0.189,0.8072,3.1625,0.088,-0.0001,-0.0749,-90.216,0.357,-0.2316,0.074,0.0624,0.0234,0.0206,0.8798,1,0.3300,0.8420,nan,3.7257,1.5136,0.0599,-0.3820,0.8000,0.1402,0.2053,0.3065,0.1046,0.1200,5.2288,0.1750
2.150,0.037,0.8001,3.1219,-91.180,0.8065,3.0352,-91.004,0.0865,0.0082,0.0869,0.176,0.8072,3.1625,0.088,-0.0009,-0.1273,-91.092,0.612,-0.3792,0.138,0.0909,0.0238,0.0224,0.9405,1,0.6676,1.0786,nan,3.8328,1.8511,0.0733,-0.3185,0.8000,0.1534,0.1796,0.3065,0.1046,0.1200,5.2522,0.1750
2.200,0.066,0.7993,3.0923,-92.132,0.8037,2.9550,-92.166,0.1370,0.0095,0.1374,-0.034,0.8071,3.1613,-0.012,-0.0034,-0.2062,-92.154,0.825,-0.4219,0.203,0.1403,0.0298,0.0282,0.9479,1,0.9590,1.5398,nan,3.9345,2.1218,0.0840,-0.2698,0.8000,0.1681,0.0874,0.2790,0.3114,0.1199,5.1002,0.1750
2.250,0.106,0.7974,3.0520,-93.310,0.8013,2.8821,-92.907,0.1694,0.0137,0.1699,0.403,0.8069,3.1597,0.326,-0.0071,-0.2775,-93.233,1.044,-0.5064,0.278,0.1712,0.0289,0.0230,0.7961,1,1.2841,1.7265,nan,4.0000,2.4364,0.0965,-0.2291,0.8000,0.1785,0.0339,0.2673,0.4135,0.1198,5.2948,0.1750
2.300,0.185,0.7916,2.9734,-95.144,0.7938,2.7588,-94.313,0.2136,0.0215,0.2146,0.831,0.8053,3.1697,0.866,-0.0176,-0.4107,-95.179,1.374,-0.5022,0.416,0.2260,0.0239,0.0187,0.7835,1,1.6092,1.9983,nan,4.0000,2.7510,0.1090,-0.2052,0.8000,0.1834,-0.0051,0.2567,0.5151,0.1195,5.0009,0.1750
2.350,0.252,0.7849,2.9067,-96.460,0.7874,2.6753,-95.378,0.2296,0.0285,0.2314,1.083,0.8047,3.1695,1.039,-0.0262,-0.4938,-96.416,1.598,-0.5223,0.528,0.2424,0.0229,0.0177,0.7723,1,1.9341,2.2711,nan,4.0000,3.0646,0.1214,-0.0620,0.9124,0.1792,-0.0579,0.2475,0.6163,0.1189,5.0428,0.1750
2.400,0.337,0.7744,2.8230,-98.038,0.7737,2.5159,-96.379,0.3042,0.0422,0.3071,1.659,0.8017,3.1661,1.567,-0.0458,-0.6491,-97.946,1.839,-0.5140,0.657,0.3145,0.0388,0.0225,0.5788,1,2.2470,2.6801,nan,4.0000,3.3559,0.1329,0.0060,1.0611,0.1685,-0.1231,0.2335,0.8177,0.1183,4.8319,0.1750
2.450,0.416,0.7627,2.7443,-98.580,0.7605,2.3853,-97.266,0.3553,0.0513,0.3590,1.314,0.8002,3.1649,1.916,-0.0658,-0.7778,-99.182,2.037,-0.2003,0.778,0.3649,0.0247,0.0231,0.9368,1,2.5653,2.8880,nan,4.0000,3.6306,0.1438,0.0155,1.2114,0.1545,-0.1499,0.2458,1.0184,0.1168,4.8204,0.1750
2.500,0.556,0.7417,2.6057,-98.525,0.7350,2.1664,-96.465,0.4354,0.0585,0.4393,2.060,0.7993,3.1790,2.046,-0.1004,-1.0096,-98.512,2.341,0.0560,0.990,0.4590,0.0223,0.0281,1.2613,1,2.8734,3.2827,nan,4.0000,4.0534,0.1605,0.0198,1.3624,0.1277,-0.1450,0.0044,1.2186,0.1200,4.7673,0.1750
2.550,0.677,0.7239,2.4865,-98.332,0.7183,2.0256,-96.435,0.4568,0.0613,0.4609,1.896,0.8032,3.1954,1.894,-0.1235,-1.1663,-98.329,2.572,0.0818,1.173,0.4967,0.0220,0.0261,1.1881,1,3.1724,3.4284,nan,4.0000,4.1032,0.1625,0.0310,1.5042,0.1004,-0.1226,-0.2387,1.4184,0.0597,4.7072,0.1750
2.600,0.792,0.7074,2.3726,-98.069,0.7040,1.8638,-95.950,0.5043,0.0681,0.5088,2.119,0.7989,3.1857,2.185,-0.1453,-1.3174,-98.136,2.772,0.1367,1.343,0.5342,0.0216,0.0305,1.4127,1,3.4397,4.0100,nan,4.0000,3.9060,0.1547,0.0294,1.8891,0.0827,-0.0896,0.0022,1.6176,-0.0528,4.6268,0.1750
2.650,0.919,0.6900,2.2473,-97.703,0.6863,1.6794,-95.784,0.5633,0.0725,0.5680,1.919,0.8058,3.1845,1.943,-0.1705,-1.5003,-97.727,2.976,0.1419,1.517,0.5923,0.0212,0.0278,1.3140,1,3.7235,3.9499,nan,4.0000,3.8721,0.1534,0.0328,2.0460,0.0635,-0.0861,0.0014,1.8166,-0.1200,5.2173,0.1750
2.700,1.129,0.6626,2.0383,-97.129,0.6663,1.4393,-95.302,0.5939,0.0780,0.5990,1.826,0.8130,3.1982,1.837,-0.2030,-1.7533,-97.139,3.408,0.1740,1.763,0.6367,0.0204,0.0220,1.0768,1,3.8570,3.9249,nan,4.0000,3.9833,0.1578,0.0278,2.1206,0.0528,-0.0729,-0.0003,2.0156,-0.1200,6.8094,0.1750
2.750,1.292,0.6430,1.8773,-96.680,0.6473,1.2800,-95.337,0.5927,0.0737,0.5973,1.343,0.8255,3.2083,1.337,-0.2231,-1.9236,-96.674,3.632,0.1565,1.937,0.6460,0.0196,0.0174,0.8885,1,3.7132,3.7195,nan,4.0000,3.8537,0.1526,0.0294,2.0416,0.0393,-0.0693,-0.0005,2.1151,-0.1200,5.5755,0.1750
2.800,1.451,0.6249,1.7190,-96.285,0.6313,1.0928,-94.717,0.6217,0.0749,0.6262,1.567,0.8168,3.1955,1.558,-0.2426,-2.0969,-96.275,3.754,0.1655,2.103,0.6610,0.0187,0.0204,1.0906,1,3.7293,3.7625,nan,4.0000,3.8619,0.1529,0.0364,2.0506,0.0194,-0.0704,-0.0003,2.3141,-0.1200,0.4770,0.1750
2.850,1.620,0.6069,1.5507,-95.856,0.6178,0.9476,-94.726,0.5988,0.0723,0.6032,1.130,0.8327,3.2142,1.133,-0.2597,-2.2619,-95.859,3.771,0.1685,2.274,0.6576,0.0177,0.0151,0.8531,1,3.8279,3.8820,nan,4.0000,3.9430,0.1562,0.0357,2.1048,0.0047,-0.0651,-0.0000,2.5131,-0.1200,0.2540,0.1750
2.900,1.885,0.5816,1.2872,-95.022,0.5950,0.6836,-94.171,0.6001,0.0661,0.6037,0.851,0.8423,3.2186,0.849,-0.2849,-2.5310,-95.020,3.805,0.2113,2.541,0.6632,0.0162,0.0102,0.6285,1,3.8083,3.8361,nan,4.0000,3.9202,0.1553,0.0363,2.0941,-0.0093,-0.0572,0.0002,2.7121,-0.1200,1.1170,0.1750
2.950,2.049,0.5679,1.1236,-94.498,0.5781,0.5208,-93.809,0.6001,0.0575,0.6029,0.689,0.8457,3.2207,0.648,-0.2981,-2.6966,-94.457,3.822,0.2125,2.706,0.6652,0.0154,0.0069,0.4450,1,3.8488,3.8881,nan,4.0000,3.9505,0.1565,0.0325,2.1164,-0.0220,-0.0479,0.0001,2.9111,-0.1200,0.2268,0.1750
3.000,2.225,0.5548,0.9480,-93.960,0.5682,0.3688,-93.310,0.5769,0.0534,0.5794,0.650,0.8432,3.2144,0.677,-0.3086,-2.8422,-93.987,3.836,0.1953,2.883,0.6350,0.0147,0.0089,0.6061,1,3.8683,3.9034,nan,4.0000,3.9624,0.1569,0.0316,2.1271,-0.0350,-0.0399,-0.0003,3.1101,-0.1200,0.3164,0.1750
3.050,2.390,0.5440,0.7832,-93.474,0.5546,0.1517,-92.954,0.6297,0.0488,0.6316,0.520,0.8490,3.2036,0.515,-0.3218,-3.0491,-93.469,3.848,0.1906,3.049,0.6772,0.0139,0.0074,0.5360,1,3.9625,4.0169,nan,4.0000,4.0403,0.1600,0.0302,2.1789,-0.0451,-0.0330,-0.0002,3.3092,-0.1200,0.4739,0.1750
3.100,2.626,0.5309,0.5479,-92.825,0.5401,-0.0606,-92.278,0.6073,0.0392,0.6086,0.547,0.8466,3.2393,0.489,-0.3346,-3.2971,-92.767,3.885,0.1798,3.288,0.6898,0.0130,0.0049,0.3744,1,3.9582,3.9898,nan,4.0000,4.0316,0.1597,0.0271,2.1765,-0.0545,-0.0244,-0.0001,3.5082,-0.1200,1.2183,0.1750
3.150,2.813,0.5224,0.3606,-92.344,0.5336,-0.2429,-91.780,0.6026,0.0359,0.6036,0.564,0.8416,3.2277,0.555,-0.3416,-3.4675,-92.336,3.919,0.1631,3.478,0.6728,0.0129,0.0040,0.3098,1,3.8647,3.8817,nan,4.0000,3.9469,0.1563,0.0255,2.1251,-0.0591,-0.0168,-0.0001,3.6077,-0.1200,0.6833,0.1750
3.200,2.998,0.5154,0.1761,-91.915,0.5298,-0.4143,-91.460,0.5896,0.0341,0.5905,0.454,0.8489,3.2343,0.453,-0.3480,-3.6460,-91.913,3.933,0.1606,3.664,0.6668,0.0128,0.0051,0.3950,1,3.9792,4.0410,nan,4.0000,4.0407,0.1600,0.0208,2.1881,-0.0610,-0.0098,-0.0003,3.9063,-0.1200,-0.9638,0.1750
3.250,3.170,0.5102,0.0039,-91.521,0.5265,-0.5821,-91.150,0.5854,0.0319,0.5862,0.370,0.8554,3.2377,0.357,-0.3526,-3.8176,-91.508,3.911,0.1290,3.835,0.6662,0.0128,0.0044,0.3436,1,3.9348,3.9603,nan,4.0000,3.9971,0.1583,0.0188,2.1636,-0.0625,-0.0062,0.0001,4.1054,-0.1200,0.6079,0.1750
3.300,3.437,0.5042,-0.2628,-91.046,0.5216,-0.8396,-90.566,0.5764,0.0279,0.5771,0.480,0.8453,3.2438,0.484,-0.3582,-4.0805,-91.050,3.920,0.1148,4.103,0.6624,0.0127,0.0054,0.4217,1,3.8180,3.8303,nan,4.0000,3.8921,0.1541,0.0164,2.0994,-0.0637,0.0010,-0.0003,4.2049,-0.1200,-0.2853,0.1750
3.350,3.593,0.5016,-0.4192,-90.802,0.5144,-1.0025,-90.416,0.5830,0.0210,0.5834,0.386,0.8492,3.2385,0.348,-0.3605,-4.2389,-90.764,3.890,0.0961,4.258,0.6643,0.0127,0.0039,0.3105,1,3.9711,4.0484,nan,4.0000,4.0204,0.1592,0.0155,2.1836,-0.0664,0.0020,0.0001,4.5036,-0.1200,-1.3558,0.1750
3.400,3.779,0.4994,-0.6050,-90.542,0.5116,-1.1820,-90.366,0.5768,0.0177,0.5771,0.176,0.8602,3.2337,0.180,-0.3625,-4.4145,-90.546,3.855,0.0920,4.442,0.6542,0.0127,0.0035,0.2722,1,3.7229,3.6937,nan,4.0000,3.7998,0.1505,0.0155,2.0471,-0.0688,0.0071,-0.0003,4.6032,-0.1200,1.0112,0.1750
3.450,3.950,0.4981,-0.7755,-90.314,0.5101,-1.3622,-90.008,0.5866,0.0153,0.5868,0.306,0.8487,3.2262,0.313,-0.3636,-4.5865,-90.321,3.885,0.0919,4.614,0.6556,0.0126,0.0046,0.3609,1,3.9209,4.0261,nan,4.0000,3.9678,0.1571,0.0111,2.1559,-0.0700,0.0113,0.0001,4.9019,-0.1200,-1.9119,0.1750
3.500,4.203,0.4974,-1.0288,-89.990,0.5106,-1.6262,-89.569,0.5974,0.0131,0.5975,0.422,0.8405,3.2268,0.402,-0.3640,-4.8505,-89.971,3.834,0.0648,4.865,0.6662,0.0126,0.0057,0.4531,1,3.9182,3.9497,nan,4.0000,3.9615,0.1569,0.0080,2.1544,-0.0676,0.0158,0.0000,5.1012,-0.1200,0.9024,0.1750
3.550,4.368,0.4976,-1.1942,-89.861,0.5056,-1.7874,-89.743,0.5932,0.0066,0.5932,0.118,0.8608,3.2282,0.096,-0.3636,-5.0150,-89.839,3.855,0.0473,5.032,0.6653,0.0126,0.0069,0.5463,1,3.8829,3.9091,nan,4.0000,3.9284,0.1556,0.0101,2.1351,-0.0691,0.0140,-0.0003,5.2008,-0.1200,0.4912,0.1750
3.600,4.558,0.4983,-1.3835,-89.731,0.5093,-1.9943,-89.272,0.6109,0.0081,0.6109,0.459,0.8314,3.2163,0.448,-0.3628,-5.2080,-89.719,3.866,0.0551,5.222,0.6690,0.0126,0.0063,0.5023,1,3.8336,3.8574,nan,4.0000,3.8811,0.1537,0.0060,2.1079,-0.0662,0.0199,-0.0002,5.4000,-0.1200,0.2372,0.1750
3.650,4.712,0.4992,-1.5381,-89.586,0.5107,-2.1391,-89.009,0.6011,0.0072,0.6011,0.577,0.8165,3.2073,0.602,-0.3620,-5.3428,-89.611,3.859,0.0424,5.377,0.6493,0.0126,0.0084,0.6624,1,3.8905,3.9337,nan,4.0000,3.9273,0.1555,0.0018,2.1392,-0.0610,0.0252,-0.0000,5.5992,-0.1200,-0.7032,0.1750
3.700,4.974,0.5013,-1.7996,-89.490,0.5150,-2.3972,-89.377,0.5977,0.0084,0.5977,0.113,0.8653,3.2150,0.095,-0.3596,-5.6116,-89.472,3.842,0.0116,5.638,0.6565,0.0126,0.0058,0.4592,1,3.8363,3.8591,nan,4.0000,3.8758,0.1535,0.0064,2.1094,-0.0600,0.0160,0.0002,5.7986,-0.1200,0.2634,0.1750
