# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
2.89352,0.53398,-6.91754,1.56264,0.00097,0.94000,0.40000,7.36181
2.99330,0.53479,-6.81776,1.56274,0.00097,0.94000,0.40000,7.39549
3.09308,0.53559,-6.71799,1.56284,0.00097,0.94000,0.40000,7.42890
3.19286,0.53638,-6.61821,1.56293,0.00097,0.94000,0.40000,7.46203
3.29263,0.53716,-6.51844,1.56303,0.00097,0.94000,0.40000,7.49490
3.39241,0.53793,-6.41867,1.56313,0.00097,0.94000,0.40000,7.52750
3.49219,0.53869,-6.31889,1.56322,0.00097,0.94000,0.40000,7.55985
3.59196,0.53944,-6.21912,1.56332,0.00097,0.93000,0.41000,7.59194
3.69174,0.54018,-6.11935,1.56342,0.00096,0.93000,0.41000,7.62378
3.79152,0.54091,-6.01957,1.56351,0.00096,0.93000,0.41000,7.65538
3.89129,0.54163,-5.91980,1.56361,0.00096,0.93000,0.41000,7.68673
3.99107,0.54234,-5.82002,1.56370,0.00095,0.93000,0.41000,7.71785
4.09085,0.54305,-5.72025,1.56380,0.00094,0.93000,0.41000,7.74873
4.19062,0.54374,-5.62047,1.56389,0.00094,0.93000,0.41000,7.77938
4.29040,0.54443,-5.52070,1.56399,0.00093,0.93000,0.41000,7.80981
4.39018,0.54510,-5.42093,1.56408,0.00091,0.93000,0.41000,7.84001
4.48995,0.54577,-5.32115,1.56417,0.00088,0.93000,0.41000,7.86998
4.58973,0.54642,-5.22138,1.56425,0.00080,0.93000,0.41000,7.89782
4.68951,0.54707,-5.12160,1.56432,0.00069,0.93000,0.41000,7.92225
4.78928,0.54771,-5.02183,1.56439,0.00058,0.93000,0.41000,7.94330
4.88906,0.54835,-4.92205,1.56444,0.00047,0.93000,0.41000,7.96099
4.98884,0.54898,-4.82228,1.56448,0.00035,0.93000,0.41000,7.97536
5.08861,0.54961,-4.72250,1.56451,0.00024,0.92000,0.42000,7.98642
5.18839,0.55024,-4.62273,1.56453,0.00014,0.92000,0.42000,7.99420
5.28817,0.55086,-4.52295,1.56454,0.00006,0.92000,0.42000,7.99872
5.38794,0.55149,-4.42318,1.56454,0.00000,0.92000,0.42000,8.00000
5.48772,0.55211,-4.32340,1.56454,-0.00003,0.92000,0.42000,8.00000
5.58750,0.55273,-4.22363,1.56454,-0.00002,0.92000,0.42000,8.00000
5.68727,0.55336,-4.12385,1.56454,-0.00004,0.92000,0.42000,8.00000
5.78705,0.55398,-4.02408,1.56454,0.00007,0.92000,0.42000,8.00000
5.88683,0.55461,-3.92431,1.56454,0.00016,0.92000,0.42000,8.00000
5.98660,0.55523,-3.82453,1.56451,-0.00100,0.92000,0.42000,8.00000
6.08638,0.55586,-3.72476,1.56450,0.00014,0.92000,0.42000,8.00000
6.18616,0.55649,-3.62498,1.56471,0.00449,0.92000,0.42000,8.00000
6.28593,0.55708,-3.52521,1.56506,0.00333,0.92000,0.42000,8.00000
6.38571,0.55763,-3.42543,1.56525,0.00004,0.92000,0.42000,8.00000
6.48549,0.55818,-3.32566,1.56540,0.00213,0.32000,0.42000,8.00000
6.58526,0.55871,-3.22588,1.56577,0.00596,0.92000,0.42000,7.99788
6.68504,0.55918,-3.12610,1.56622,0.00362,0.92000,0.42000,7.98949
6.78482,0.55962,-3.02633,1.56652,0.00224,0.91000,0.43000,7.97479
6.88459,0.56004,-2.92655,1.56667,0.00016,0.91000,0.43000,7.95372
6.98437,0.56045,-2.82678,1.56689,0.00419,0.91000,0.43000,7.92625
7.08415,0.56082,-2.72700,1.56720,0.00242,0.91000,0.43000,7.89232
7.18392,0.56116,-2.62722,1.56750,0.00345,0.91000,0.43000,7.85189
7.28370,0.56148,-2.52745,1.56784,0.00352,0.91000,0.43000,7.80491
7.38348,0.56175,-2.42767,1.56822,0.00389,0.91000,0.43000,7.75132
7.48325,0.56199,-2.32790,1.56862,0.00422,0.91000,0.43000,7.69319
7.58303,0.56219,-2.22812,1.56906,0.00457,0.91000,0.43000,7.63463
7.68281,0.56234,-2.12834,1.56953,0.00494,0.91000,0.43000,7.57562
7.78258,0.56244,-2.02857,1.57005,0.00533,0.91000,0.43000,7.51615
7.88236,0.56249,-1.92879,1.57060,0.00572,0.91000,0.43000,7.45621
7.98214,0.56248,-1.82901,1.57119,0.00612,0.91000,0.43000,7.39579
8.08191,0.56241,-1.72924,1.57182,0.00653,0.91000,0.43000,7.33488
8.18169,0.56227,-1.62946,1.57249,0.00693,0.91000,0.43000,7.27346
8.28147,0.56207,-1.52968,1.57320,0.00733,0.91000,0.43000,7.21153
8.38124,0.56179,-1.42991,1.57396,0.00773,0.91000,0.43000,7.14906
8.48102,0.56144,-1.33013,1.57475,0.00812,0.91000,0.43000,7.08606
8.58080,0.56100,-1.23035,1.57557,0.00850,0.91000,0.43000,7.02249
8.68057,0.56049,-1.13058,1.57644,0.00889,0.91000,0.43000,6.95834
8.78035,0.55988,-1.03080,1.57735,0.00927,0.91000,0.43000,6.89360
8.88013,0.55918,-0.93103,1.57829,0.00964,0.92000,0.42000,6.82826
8.97991,0.55838,-0.83126,1.57927,0.01002,0.92000,0.42000,6.76228
9.07968,0.55749,-0.73148,1.58029,0.01039,0.92000,0.42000,6.69566
9.17946,0.55649,-0.63171,1.58135,0.01077,0.92000,0.42000,6.62837
9.27924,0.55538,-0.53194,1.58244,0.01114,0.92000,0.42000,6.56039
9.37901,0.55416,-0.43217,1.58357,0.01152,0.92000,0.42000,6.49171
9.47879,0.55283,-0.33240,1.58474,0.01189,0.92000,0.42000,6.42229
9.57857,0.55138,-0.23264,1.58594,0.01227,0.92000,0.42000,6.35211
9.67834,0.54981,-0.13287,1.58719,0.01265,0.92000,0.42000,6.28115
9.77812,0.54811,-0.03311,1.58847,0.01302,0.93000,0.41000,6.20938
9.87790,0.54628,0.06665,1.58979,0.01340,0.93000,0.41000,6.13676
9.97767,0.54432,0.16641,1.59114,0.01377,0.93000,0.41000,6.06328
10.07745,0.54222,0.26616,1.59253,0.01414,0.93000,0.41000,5.98889
10.17723,0.53998,0.36591,1.59396,0.01452,0.93000,0.41000,5.91356
10.27700,0.53760,0.46566,1.59543,0.01489,0.94000,0.40000,5.83725
10.37678,0.53507,0.56540,1.59693,0.01526,0.94000,0.40000,5.75993
10.47656,0.53239,0.66515,1.59847,0.01563,0.94000,0.40000,5.68155
10.57633,0.52955,0.76488,1.60005,0.01599,0.95000,0.40000,5.60207
10.67611,0.52655,0.86461,1.60167,0.01636,0.95000,0.39000,5.52143
10.77589,0.52339,0.96434,1.60332,0.01673,0.95000,0.36000,5.43959
10.87566,0.52006,1.06406,1.60500,0.01710,0.95000,0.36000,5.35649
10.97544,0.51656,1.16378,1.60673,0.01746,0.98000,0.36000,5.27207
11.07522,0.51289,1.26349,1.60849,0.01783,0.99000,0.35000,5.18625
11.17499,0.50904,1.36319,1.61029,0.01820,0.99000,0.35000,5.09897
11.27477,0.50501,1.46288,1.61212,0.01858,1.00000,0.35000,5.01016
11.37455,0.50080,1.56257,1.61397,0.01887,1.00000,0.34000,4.91983
11.47432,0.49640,1.66225,1.61562,0.01573,1.00000,0.34000,4.82801
11.57410,0.49186,1.76192,1.61627,-0.00107,1.01000,0.33000,4.73478
11.67388,0.48733,1.86160,1.61496,-0.02484,1.01000,0.35000,4.64024
11.77365,0.48305,1.96128,1.61125,-0.04957,1.02000,0.35000,4.54453
11.87343,0.47926,2.06099,1.60507,-0.07430,1.02000,0.35000,4.44789
11.97321,0.47621,2.16072,1.59642,-0.09908,1.02000,0.34000,4.35061
12.07298,0.47415,2.26047,1.58525,-0.12444,1.03000,0.34000,4.25305
12.17276,0.47332,2.36024,1.57144,-0.15186,1.03000,0.34000,4.15556
12.27254,0.47402,2.46002,1.55463,-0.18458,1.03000,0.34000,4.05847
12.37231,0.47655,2.55976,1.53443,-0.22010,1.02000,0.34000,3.96205
12.47209,0.48127,2.65942,1.51067,-0.25621,1.02000,0.35000,3.86656
12.57187,0.48854,2.75893,1.48328,-0.29272,1.01000,0.36000,3.77224
12.67164,0.49871,2.85818,1.45222,-0.32978,1.01000,0.37000,3.67925
12.77142,0.51214,2.95705,1.41744,-0.36734,1.00000,0.38000,3.58767
12.87120,0.52919,3.05535,1.37889,-0.40523,0.99000,0.40000,3.49750
12.97097,0.55019,3.15288,1.33654,-0.44360,0.98000,0.43000,3.40866
13.07075,0.57549,3.24939,1.29032,-0.48268,0.96000,0.46000,3.32107
13.17053,0.60541,3.34457,1.24016,-0.52273,0.95000,0.50000,3.23457
13.27030,0.64025,3.43805,1.18593,-0.56408,0.93000,0.55000,3.14899
13.37008,0.68029,3.52942,1.12748,-0.60709,0.91000,0.60000,3.06418
13.46986,0.72579,3.61820,1.06464,-0.65226,0.89000,0.68000,2.97999
13.56963,0.77697,3.70383,0.99715,-0.70015,0.86000,0.77000,2.89634
13.66941,0.83400,3.78568,0.92470,-0.75146,0.83000,0.88000,2.81328
13.76919,0.89700,3.86301,0.84691,-0.80707,0.81000,1.02000,2.73114
13.86896,0.96602,3.93503,0.76330,-0.86805,0.77000,1.21000,2.65100
13.96874,1.04101,4.00079,0.67326,-0.93564,0.74000,1.46000,2.58016
14.06852,1.12180,4.05927,0.57604,-1.01161,0.70000,1.74000,2.51857
14.16829,1.20808,4.10931,0.47072,-1.09786,0.65000,1.75000,2.47093
14.26807,1.29930,4.14960,0.35628,-1.19664,0.58000,1.65000,2.43995
14.36785,1.39466,4.17875,0.23333,-1.27713,0.47000,1.56000,2.42684
14.46762,1.49293,4.19562,0.10795,-1.24502,0.39000,1.51000,2.43211
14.56740,1.59255,4.20019,-0.01147,-1.14921,0.50000,1.47000,2.45586
14.66718,1.69204,4.19333,-0.12132,-1.05071,0.54000,1.49000,2.49784
14.76696,1.79027,4.17609,-0.22186,-0.96280,0.61000,1.48000,2.55703
14.86673,1.88640,4.14949,-0.31409,-0.88439,0.67000,1.27000,2.62625
