# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.61803,3.16828,-1.83825,0.15542,0.49092,0.89034,3.59737
0.10758,0.58960,3.06452,-1.82143,0.23042,0.46297,0.91828,3.73787
0.21390,0.56499,2.96109,-1.78863,0.30201,0.43599,0.93901,3.84935
0.31861,0.54400,2.85850,-1.75771,0.28992,0.41697,0.95803,3.95408
0.42197,0.52633,2.75666,-1.72844,0.27797,0.40011,0.97489,4.05338
0.52452,0.51168,2.65517,-1.70059,0.26675,0.38551,0.98948,4.14842
0.62649,0.49986,2.55389,-1.67393,0.25690,0.37314,1.00186,4.23965
0.72800,0.49073,2.45279,-1.64834,0.24804,0.36298,1.01202,4.32746
0.82912,0.48416,2.35188,-1.62369,0.24002,0.35498,1.02002,4.41212
0.92992,0.48005,2.25117,-1.59990,0.23254,0.34912,1.02588,4.49396
1.03049,0.47830,2.15062,-1.57688,0.22556,0.35162,1.02338,4.57327
1.13086,0.47883,2.05024,-1.55458,0.21912,0.34992,1.02508,4.65023
1.23104,0.48156,1.95009,-1.53294,0.20909,0.35027,1.02473,4.72535
1.33108,0.48641,1.85018,-1.51272,0.11956,0.35564,1.01609,4.79998
1.43100,0.49316,1.75049,-1.50906,-0.04418,0.33814,1.01186,4.89613
1.53064,0.49872,1.65100,-1.52158,-0.14399,0.34744,1.00880,4.98192
1.63004,0.50295,1.55168,-1.53771,-0.17499,0.34930,1.00069,5.05407
1.72939,0.50530,1.45237,-1.55633,-0.17063,0.34942,1.00057,5.12461
1.82878,0.50583,1.35298,-1.57161,-0.11184,0.35412,0.99587,5.19386
1.92816,0.50513,1.25361,-1.57857,-0.03933,0.35148,0.99851,5.27827
2.02755,0.50428,1.15422,-1.57943,-0.00443,0.34885,0.98912,5.37121
2.12694,0.50342,1.05483,-1.57945,0.00031,0.34633,0.97866,5.46354
2.22632,0.50256,0.95546,-1.57937,0.00040,0.35022,0.97478,5.55389
2.32571,0.50171,0.85607,-1.57937,-0.00002,0.36049,0.97699,5.64237
2.42509,0.50086,0.75669,-1.57937,-0.00009,0.37092,0.97908,5.72906
2.52448,0.50001,0.65731,-1.57939,-0.00010,0.36898,0.98102,5.81406
2.62387,0.49915,0.55792,-1.57939,-0.00010,0.36716,0.98284,5.89745
2.72323,0.49830,0.45856,-1.57940,-0.00009,0.37173,0.97827,5.97927
2.82262,0.49744,0.35918,-1.57941,-0.00009,0.37019,0.97981,6.05964
2.92203,0.49659,0.25977,-1.57942,-0.00009,0.36876,0.98124,6.13862
3.02141,0.49573,0.16039,-1.57943,-0.00009,0.36746,0.98254,6.21623
3.12079,0.49487,0.06101,-1.57944,-0.00009,0.36629,0.98371,6.29255
3.22021,0.49401,-0.03840,-1.57945,-0.00009,0.36524,0.98476,6.36766
3.31961,0.49315,-0.13780,-1.57946,-0.00009,0.36430,0.98570,6.44156
3.41900,0.49229,-0.23719,-1.57946,-0.00009,0.36349,0.98651,6.51431
3.51840,0.49143,-0.33658,-1.57947,-0.00009,0.36280,0.98720,6.58596
3.61783,0.49056,-0.43600,-1.57948,-0.00009,0.36222,0.98778,6.65656
3.71725,0.48970,-0.53542,-1.57949,-0.00009,0.36175,0.98825,6.72614
3.81666,0.48884,-0.63482,-1.57950,-0.00009,0.36140,0.98860,6.79472
3.91610,0.48797,-0.73426,-1.57951,-0.00009,0.36115,0.98885,6.86236
4.01553,0.48710,-0.83369,-1.57952,-0.00010,0.35476,0.99524,6.92907
4.11497,0.48623,-0.93312,-1.57953,-0.00010,0.35473,0.99527,6.99490
4.21441,0.48537,-1.03256,-1.57954,-0.00010,0.35480,0.99520,7.05985
4.31386,0.48450,-1.13201,-1.57955,-0.00010,0.35498,0.99502,7.12397
4.41332,0.48363,-1.23147,-1.57956,-0.00010,0.35525,0.99475,7.18729
4.51279,0.48275,-1.33094,-1.57957,-0.00010,0.35563,0.99437,7.24982
4.61226,0.48188,-1.43040,-1.57958,-0.00011,0.34985,1.00015,7.31158
4.71174,0.48101,-1.52987,-1.57959,-0.00011,0.35042,0.99958,7.37261
4.81123,0.48013,-1.62936,-1.57960,-0.00011,0.35107,0.99893,7.43292
4.91070,0.47925,-1.72882,-1.57961,-0.00011,0.35182,0.99818,7.49251
5.01019,0.47838,-1.82832,-1.57962,-0.00011,0.34642,1.00358,7.55143
5.10973,0.47750,-1.92785,-1.57963,-0.00012,0.34734,1.00266,7.60971
5.20924,0.47662,-2.02735,-1.57964,-0.00011,0.34835,1.00165,7.66732
5.30875,0.47574,-2.12686,-1.57966,-0.00012,0.34945,1.00681,7.72431
5.40829,0.47486,-2.22640,-1.57967,-0.00012,0.34437,1.00564,7.78069
5.50781,0.47397,-2.32591,-1.57968,-0.00012,0.34564,1.00437,7.83646
5.60735,0.47309,-2.42545,-1.57969,-0.00012,0.34698,1.00928,7.89165
5.70692,0.47220,-2.52501,-1.57970,-0.00012,0.34214,1.00787,7.94629
5.80648,0.47131,-2.62457,-1.57972,-0.00013,0.34362,1.00638,8.00037
5.90604,0.47042,-2.72413,-1.57973,-0.00013,0.33894,0.92414,8.05390
6.00563,0.46953,-2.82371,-1.57974,-0.00013,0.34057,0.82536,8.10691
