# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
# ellipse a_lat 7.25 lat_zones [16.5:21.0:7.0,39.0:41.0:5.3,41.0:43.4:7.0] a_long 6.5 a_brake 5.0 v_max 9.0 -> 8.830 s
0.00000,0.63972,3.16234,-1.81951,0.12947,0.51341,0.86785,3.56486
0.10719,0.61333,3.05844,-1.80552,0.19234,0.48747,0.89378,3.71434
0.21269,0.59026,2.95550,-1.77829,0.25165,0.46187,0.91313,3.84190
0.31660,0.57020,2.85354,-1.75289,0.23922,0.44363,0.93137,3.96204
0.41918,0.55287,2.75244,-1.72901,0.22785,0.42698,0.94802,4.07592
0.52098,0.53800,2.65173,-1.70643,0.21737,0.41205,0.96294,4.18484
0.62225,0.52541,2.55125,-1.68492,0.20824,0.39883,0.97617,4.28943
0.72313,0.51498,2.45091,-1.66436,0.20011,0.38730,0.98770,4.39015
0.82369,0.50659,2.35069,-1.64463,0.19282,0.37744,0.99755,4.48736
0.92401,0.50016,2.25058,-1.62564,0.18612,0.36924,1.00576,4.58140
1.02418,0.49560,2.15051,-1.60733,0.17988,0.36893,1.00608,4.67261
1.12427,0.49285,2.05047,-1.58962,0.17421,0.36394,1.01106,4.76120
1.22426,0.49184,1.95048,-1.57247,0.16902,0.36056,1.01445,4.84734
1.32421,0.49251,1.85054,-1.55584,0.16384,0.36175,1.00998,4.93130
1.42418,0.49483,1.75059,-1.53970,0.12966,0.33981,1.01019,5.01341
1.52384,0.49872,1.65100,-1.52995,0.02605,0.34744,1.00880,5.10087
1.62325,0.50296,1.55168,-1.53455,-0.09142,0.34931,1.00068,5.19205
1.72260,0.50592,1.45238,-1.54811,-0.13715,0.35004,0.99995,5.27016
1.82201,0.50747,1.35298,-1.56181,-0.11606,0.35576,0.99423,5.34679
1.92140,0.50771,1.25359,-1.57119,-0.06427,0.35406,0.99593,5.42649
2.02080,0.50739,1.15419,-1.57458,-0.02037,0.35196,0.98601,5.51359
2.12019,0.50696,1.05480,-1.57524,-0.00420,0.34987,0.97512,5.60249
2.21957,0.50651,0.95543,-1.57541,-0.00164,0.35417,0.97083,5.68995
2.31896,0.50604,0.85603,-1.57556,-0.00159,0.36482,0.97266,5.77571
2.41835,0.50556,0.75665,-1.57573,-0.00166,0.37562,0.97438,5.85981
2.51773,0.50506,0.65727,-1.57589,-0.00161,0.37403,0.97597,5.94234
2.61713,0.50455,0.55787,-1.57605,-0.00152,0.37256,0.97744,6.02337
2.71649,0.50402,0.45851,-1.57620,-0.00143,0.37745,0.97255,6.10294
2.81587,0.50347,0.35913,-1.57633,-0.00135,0.37622,0.97378,6.18115
2.91529,0.50292,0.25971,-1.57647,-0.00129,0.37509,0.97491,6.25808
3.01467,0.50235,0.16033,-1.57659,-0.00123,0.37408,0.97592,6.33371
3.11406,0.50176,0.06095,-1.57671,-0.00118,0.37318,0.97682,6.40813
3.21347,0.50117,-0.03846,-1.57682,-0.00114,0.37240,0.97760,6.48141
3.31288,0.50057,-0.13786,-1.57694,-0.00110,0.37172,0.97828,6.55356
3.41227,0.49995,-0.23726,-1.57704,-0.00106,0.37115,0.97885,6.62462
3.51166,0.49932,-0.33665,-1.57715,-0.00103,0.37069,0.97931,6.69464
3.61109,0.49869,-0.43607,-1.57725,-0.00100,0.37035,0.97965,6.76367
3.71051,0.49804,-0.53549,-1.57735,-0.00097,0.37009,0.97991,6.83173
3.80992,0.49739,-0.63489,-1.57744,-0.00095,0.36995,0.98006,6.89884
3.90936,0.49672,-0.73434,-1.57753,-0.00093,0.36990,0.98010,6.96507
4.00879,0.49605,-0.83377,-1.57763,-0.00091,0.36371,0.98630,7.03041
4.10823,0.49536,-0.93320,-1.57771,-0.00089,0.36386,0.98614,7.09490
4.20767,0.49467,-1.03264,-1.57780,-0.00087,0.36410,0.98590,7.15857
